ID_analyse;ID_index;Objet;Niveau;Profondeur;Y observe;X etat courant;m histoire incorporee;A organisation;Contraintes;Persistance;Transformations;Conditions;Z accessible;Verrous;Intervention;Certitude;Source URL
ANA-001;MAT-00001;Quark up;Particule fondamentale;nulle;Charge +2/3, spin 1/2, masse effective;Confine dans un hadron, jamais libre;Aucune histoire incorporee dans le modele standard;Aucune structure interne connue;Confinement de couleur, energie de liaison croissante avec la distance;"Stable en saveur hors interaction faible ; duree non definie isolement";Hadronisation, changement de saveur par interaction faible;Energies superieures a l echelle de confinement;Etats lies hadroniques uniquement;Etat libre inaccessible a toute energie connue;Collision a haute energie et analyse des jets produits;Mesure;https://home.cern/science/physics/standard-model/
ANA-002;MAT-00259;Diamant;Materiau, allotrope du carbone;complete;Durete maximale, transparence, conductivite thermique la plus elevee connue;Carbone pur, phase cubique, densite 3,51;Conditions de croissance inscrites dans les inclusions, les dislocations et la zonation en azote;Reseau covalent tetraedrique tridimensionnel, chaque atome lie a quatre voisins;"Metastable a pression ambiante ; barriere cinetique de reconstruction du reseau";"Metastable indefiniment a temperature ambiante ; graphitisation au-dessus d environ 1700 K sans oxygene";Graphitisation, oxydation, transformation en lonsdaleite sous choc;Haute temperature, ou haute pression dynamique;Graphite, dioxyde de carbone, lonsdaleite;Retour direct au graphite bloque cinetiquement a temperature ambiante;Recuit sous vide a temperature croissante et suivi de la graphitisation;Mesure;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
ANA-003;MAT-00260;Graphite;Materiau, allotrope du carbone;complete;Tendre, opaque, conducteur electrique anisotrope, lubrifiant;Carbone pur, phase hexagonale, densite 2,26;Empilement, fautes et taille des cristallites porteuses de l histoire thermique;Feuillets hexagonaux lies de maniere covalente, empiles par forces faibles;"Anisotropie forte ; clivage aise entre feuillets";Phase stable du carbone aux conditions ambiantes;Compression en diamant, intercalation, exfoliation en graphene, oxydation;Haute pression et haute temperature, ou exfoliation mecanique;Diamant, graphene, composes d intercalation, dioxyde de carbone;Conversion spontanee en diamant impossible aux conditions ambiantes;Compression en cellule a enclumes avec suivi structural in situ;Mesure;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
ANA-004;MAT-00376;Acier;Materiau, alliage fer-carbone;complete;Limite elastique, durete, tenacite et resilience tres variables a composition fixee;Fer et carbone, teneur en carbone generalement inferieure a 2 pourcent massique;Histoire thermique et mecanique entierement incorporee : trempe, revenu, ecrouissage, taille de grain, densite de dislocations, contraintes residuelles;Microstructure multiphasee : ferrite, perlite, bainite, martensite, carbures, joints de grains;"Diagramme de phases fer-carbone ; vitesses de refroidissement critiques";"Metastable a l ambiante ; la martensite se decompose au revenu";Trempe, revenu, recuit, ecrouissage, recristallisation, corrosion;Cycles thermiques controles, deformation, milieu oxydant ou chlorure;Toute la gamme des microstructures atteignables depuis l austenite;Le retour a l etat initial exige une austenitisation complete : l histoire anterieure est effacee, pas inversee;Deux echantillons de composition identique, traitements thermiques differents, essai de traction et observation micrographique;Mesure;https://www.rruff.net/ima-mineral-list/
ANA-005;MAT-00266;Verre;Materiau, solide amorphe;complete;Transparence, fragilite, absence de point de fusion net;Silicate ou autre reseau, densite et indice dependants de la composition;"Vitesse de trempe inscrite dans le volume libre et les contraintes residuelles ; vieillissement structural mesurable";Reseau desordonne sans ordre a longue portee, distribution de longueurs et d angles de liaison;"Hors equilibre par construction ; temperature de transition vitreuse dependante de la vitesse de mesure";"Metastable ; relaxation structurale lente et continue a temperature ambiante";Relaxation, cristallisation, fracture, dissolution;Recuit prolonge, elevation de temperature au-dessus de la transition vitreuse;Etat cristallin, etat relaxe de plus faible volume libre, fragments;Le desordre initial exact n est pas restaurable apres cristallisation;Deux trempes a vitesses differentes, mesure de la densite et suivi du vieillissement;Mesure;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
ANA-006;MAT-00364;Glace Ih;Phase, eau solide ordinaire;complete;Densite inferieure a celle du liquide, transparence, plasticite sous contrainte;H2O solide, structure hexagonale, conditions terrestres de surface;Bulles d air, isotopes stables et poussieres piegees enregistrent le climat de depot;Reseau hexagonal a liaisons hydrogene, desordre protonique residuel;Domaine de stabilite etroit en pression et temperature;"Stable aux conditions polaires ; flue sous son propre poids sur des milliers d annees";Fusion, sublimation, transition vers les phases haute pression, recristallisation;Elevation de temperature, augmentation de pression, contrainte prolongee;Eau liquide, vapeur, glaces II a XIX selon pression et temperature;La fusion efface les bulles et donc l archive climatique : la lecture est destructive et unique;Carottage et mesure isotopique le long de la profondeur;Mesure;https://www.rruff.net/ima-mineral-list/
ANA-007;MAT-00312;Glace VII;Phase, eau solide haute pression;complete;Densite tres superieure a la glace ordinaire, stabilite a temperature elevee;H2O solide, structure cubique, au-dela d environ 2 GPa;Trouvee en inclusion dans des diamants du manteau : temoigne d une pression de piegeage;Deux sous-reseaux interpenetres a liaisons hydrogene;"Exige une pression maintenue ; se decompresse irreversiblement sinon";"Stable seulement sous confinement ; persistante en inclusion scellee";Decompression vers les phases basse pression, transition vers la glace X;Relachement ou augmentation de la pression;Glace VI, glace X, eau liquide selon le chemin;L etat haute pression n est pas conservable hors confinement;Decompression controlee d une inclusion avec suivi Raman;Mesure;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
ANA-008;MAT-00347;Olivine;Mineral, silicate ferromagnesien;complete;Couleur, birefringence, deformation plastique a haute temperature;Solution solide entre poles magnesien et ferreux;Zonation chimique, dislocations et orientation preferentielle enregistrent la deformation et le refroidissement;Silicate en tetraedres isoles relies par des cations en coordination octaedrique;"Domaine de stabilite limite en pression ; transitions vers wadsleyite puis ringwoodite";"Stable dans le manteau superieur ; s altere rapidement en surface";Serpentinisation, transitions de phase haute pression, alteration;Presence d eau, augmentation de pression, exposition en surface;Serpentine et H2, wadsleyite, ringwoodite, produits d alteration;La zonation chimique est effacee par une rehomogeneisation thermique prolongee;Experience de deformation en presse avec mesure de l orientation cristalline;Mesure;https://www.rruff.net/ima-mineral-list/
ANA-009;MAT-00331;Quartz;Mineral, silice cristalline;complete;Durete, piezoelectricite, transparence;SiO2, phase alpha aux conditions ambiantes;Inclusions fluides, traces de fission et centres colores enregistrent temperature et irradiation;Reseau tridimensionnel de tetraedres SiO4 partageant leurs sommets;"Transition alpha-beta a environ 846 K ; polymorphes de haute pression";"Tres stable chimiquement ; persiste comme grain detritique sur des centaines de millions d annees";Transitions polymorphiques, dissolution, recristallisation, choc;Elevation de temperature, pression de choc, fluides alcalins;Tridymite, cristobalite, coesite, stishovite, silice amorphe;Les traces de fission sont effacees au-dessus d une temperature de fermeture : l archive a un plafond thermique;Chauffage par paliers et comptage des traces residuelles;Mesure;https://www.rruff.net/ima-mineral-list/
ANA-010;MAT-00334;Magnetite;Mineral, oxyde de fer;complete;Ferrimagnetisme, aimantation remanente stable;Fe3O4, structure spinelle inverse;Aimantation remanente acquise au refroidissement : enregistre la direction du champ magnetique ambiant;Reseau spinelle avec fer en deux etats d oxydation sur deux sites distincts;"Temperature de Curie a 858 K ; au-dela l aimantation est perdue";L aimantation persiste des centaines de millions d annees sous la temperature de blocage;Oxydation en hematite, reduction, dissolution, biomineralisation;Chauffage au-dela de la temperature de blocage, milieu oxydant ou reducteur;Hematite, maghemite, fer metal, magnetite biogenique;Un chauffage au-dela du point de Curie efface definitivement l enregistrement magnetique;Chauffage progressif d un echantillon oriente et desaimantation thermique par paliers;Mesure;https://www.rruff.net/ima-mineral-list/
ANA-011;MAT-00389;Composite carbone-epoxy;Materiau, composite structural;complete;Rapport rigidite sur masse eleve, anisotropie marquee, rupture fragile;Fibres de carbone dans une matrice polymere reticulee;Cycle de cuisson, taux de reticulation, humidite absorbee et microfissures accumulees;Empilement oriente de plis, interface fibre-matrice determinante;"Delaminage sous impact ; tenue thermique limitee par la matrice";Duree de vie fixee par le vieillissement de la matrice et l accumulation de microfissures;Delaminage, fissuration matricielle, degradation hygrothermique;Impact, cyclage thermique, absorption d humidite, rayonnement ultraviolet;Etats endommages a rigidite decroissante;Le delaminage est irreversible : aucun traitement ne restaure l interface initiale;Impact calibre puis mesure de la rigidite residuelle et controle ultrasonore;Mesure;https://www.rruff.net/ima-mineral-list/
ANA-012;MAT-00290;Supraconducteur type I;Phase electronique;partielle;Resistance nulle, expulsion complete du champ magnetique;Metal pur en dessous de sa temperature critique;Peu d histoire incorporee : l etat est fixe par les conditions courantes;Paires d electrons correlees a longue portee, gap dans le spectre d excitation;Champ critique et temperature critique faibles;Persiste tant que temperature, champ et courant restent sous leurs valeurs critiques;Transition vers l etat normal, penetration du champ;Elevation de temperature, application d un champ ou d un courant;Etat normal resistif;Aucune hysterese notable : le retour est reversible, contrairement au type II;Cycle en champ magnetique et mesure de l aimantation;Mesure;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
ANA-013;MAT-00294;Condensat de Bose-Einstein;Phase quantique;partielle;Coherence macroscopique, interference de nuages atomiques;Gaz atomique dilue refroidi sous le microkelvin;Aucune histoire durable : la coherence est detruite a chaque mesure destructive;Occupation macroscopique d un meme etat quantique, phase commune;Exige un piegeage et un isolement thermique extremes;Duree de vie limitee par les collisions a trois corps et le chauffage residuel;Effondrement, expansion, transition vers un gaz thermique;Rechauffement, modification du piege, interaction attractive;Gaz thermique, gaz de molecules, etats solitoniques et tourbillonnaires;L etat n est pas conservable hors piege ni reproductible a l identique;Coupure du piege et imagerie d expansion;Mesure;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
