criterion_id,test_id,wp,description,metric_key,operator,threshold_low,threshold_high,frozen,confirmatory,expected_direction,notes,justification,freeze_date,nature,campagne
CRIT-S1-001,S1-001,S1,Vérifier qu’elles peuvent être codées sans chevauchement complet sur au moins 100 systèmes provenant des trois branches.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-002,S1-002,S1,Mesurer l’accord entre plusieurs codeurs indépendants.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-003,S1-003,S1,Calculer la stabilité du codage après retrait du nom du domaine.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-004,S1-004,S1,Tester des cas limites où une variable peut appartenir à deux dimensions.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-005,S1-005,S1,"Comparer une version à six dimensions à des versions réduites à cinq, quatre et trois dimensions.",,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-006,S1-006,S1,Tester si l’ajout de chaque dimension améliore réellement une tâche de classification ou de prédiction.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-007,S1-007,S1,Mesurer la redondance entre dimensions par information mutuelle et corrélations conditionnelles.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-008,S1-008,S1,Vérifier l’invariance des conclusions sous plusieurs normalisations.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-009,S1-009,S1,Construire des systèmes synthétiques où la vérité est connue.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-010,S1-010,S1,Produire des changements d’état sans changement d’opérateur.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-011,S1-011,S1,Produire des changements de paramètres structurels.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-012,S1-012,S1,Produire des changements de topologie.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-013,S1-013,S1,Tester si la règle ORI-C classe correctement les trois cas.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-014,S1-014,S1,Comparer cette classification à des méthodes de détection de changement de régime.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-015,S1-015,S1,Tester la dépendance au niveau de description.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-016,S1-016,S1,Mesurer l’accord entre codeurs sur des cas empiriques.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-017,S1-017,S1,Vérifier si un changement classé architectural améliore la prédiction d’une réponse future.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-018,S1-018,S1,Rechercher des faux positifs où une dérive lente de paramètres ressemble à une transformation architecturale.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-019,S1-019,S1,Simuler une mémoire unique à noyau fixe.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-020,S1-020,S1,Simuler plusieurs mémoires indépendantes.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-021,S1-021,S1,Simuler plusieurs mémoires couplées.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-022,S1-022,S1,Rendre les noyaux dépendants de l’état.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-023,S1-023,S1,Faire varier les constantes de temps sur plusieurs ordres de grandeur.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-024,S1-024,S1,Comparer une intégrale cumulée unique à un modèle multi-mémoires.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-025,S1-025,S1,Tester l’identifiabilité du nombre de mémoires.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-026,S1-026,S1,Tester la capacité à distinguer mémoire longue et attracteur multiple.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-027,S1-027,S1,Tester le transfert d’une trace rapide vers un compartiment lent.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-028,S1-028,S1,Tester le transfert inverse.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-029,S1-029,S1,Mesurer la durée nécessaire pour éviter de confondre relaxation et inscription.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-030,S1-030,S1,"Comparer modèles convolutionnels, espaces d’état, équations différentielles retardées et réseaux récurrents contraints.",,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-031,S1-031,S1,Générer des systèmes présentant `D` seul.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-032,S1-032,S1,Générer des systèmes présentant `H` seul.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-033,S1-033,S1,Générer des systèmes présentant `L` seul.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-034,S1-034,S1,Générer les quatre combinaisons doubles et la combinaison triple.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-035,S1-035,S1,Vérifier que les métriques restent séparables.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-036,S1-036,S1,Tester la sensibilité au bruit et aux données manquantes.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-037,S1-037,S1,Comparer plusieurs estimateurs du temps de relaxation.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-038,S1-038,S1,Comparer plusieurs définitions de seuil aller-retour.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-039,S1-039,S1,Tester la détection de pertes topologiques.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-040,S1-040,S1,Vérifier que `L` distingue perte réelle et coût d’accès accru.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-041,S1-041,S1,Définir un estimateur opérationnel par domaine.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-042,S1-042,S1,Tester la dépendance à l’horizon `T`.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-043,S1-043,S1,Tester la dépendance aux ressources et contraintes `C`.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-044,S1-044,S1,Tester la dépendance au seuil probabiliste `ε`.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-045,S1-045,S1,"Comparer échantillonnage Monte-Carlo, continuation numérique, méthodes de viabilité et apprentissage de variétés.",,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-046,S1-046,S1,Mesurer le volume accessible avant et après une transition.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-047,S1-047,S1,Mesurer les états nouvellement accessibles.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-048,S1-048,S1,Mesurer les états devenus inaccessibles.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S1-049,S1-049,S1,Mesurer le coût énergétique et temporel d’accès.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
