Échelle;Réservoir;Composition dominante;Conditions;Localisation;Statut;Note;Source URL
Échelle cosmologique;Vide intergalactique;Gaz extrêmement raréfié, photons, neutrinos, matière noire;Très faible densité;Univers entre les structures;Confirmé;Matière ordinaire très diffuse;https://science.nasa.gov/universe/overview/building-blocks/
Échelle cosmologique;Filaments du réseau cosmique;Gaz chaud et tiède, galaxies, matière noire;Densité supérieure aux vides;Réseau cosmique;Confirmé;Réservoir majeur de matière diffuse;https://science.nasa.gov/universe/overview/building-blocks/
Échelle cosmologique;Milieu intergalactique chaud-tiède;Plasma ionisé;10^5 à 10^7 K typiquement;Filaments et périphéries d'amas;Confirmé;Partie des baryons difficiles à détecter;https://science.nasa.gov/universe/overview/building-blocks/
Amas de galaxies;Milieu intra-amas;Plasma chaud, métaux, matière noire dominante gravitationnellement;Millions de kelvins;Amas de galaxies;Confirmé;Émet en rayons X;https://science.nasa.gov/universe/overview/building-blocks/
Galaxie;Halo de matière noire;Nature microscopique inconnue;Distribution étendue;Autour des galaxies et amas;Inféré gravitationnellement;Non inventoriable par composition;https://science.nasa.gov/universe/overview/building-blocks/
Galaxie;Milieu circumgalactique;Gaz ionisé, neutre, métaux, poussières;Large gamme de températures;Halos galactiques;Confirmé;Interface entre galaxie et milieu intergalactique;https://science.nasa.gov/universe/overview/building-blocks/
Galaxie;Milieu interstellaire ionisé chaud;Plasma chaud;Environ 10^6 K;Bulles, superbulles;Confirmé;Chauffé par supernovas;https://science.nasa.gov/universe/overview/building-blocks/
Galaxie;Milieu ionisé chaud;Hydrogène ionisé, électrons;Environ 10^4 K;Régions H II;Confirmé;Autour des étoiles chaudes;https://science.nasa.gov/universe/overview/building-blocks/
Galaxie;Milieu neutre chaud;Hydrogène atomique;Environ 10^4 K;Disques galactiques;Confirmé;Phase diffuse;https://science.nasa.gov/universe/overview/building-blocks/
Galaxie;Milieu neutre froid;Hydrogène atomique et molécules simples;Dizaines à centaines de kelvins;Nuages diffus;Confirmé;Précurseur des nuages moléculaires;https://science.nasa.gov/universe/overview/building-blocks/
Galaxie;Nuage moléculaire;H2, CO, poussières, molécules complexes;Environ 10 à 100 K;Bras galactiques, zones de formation stellaire;Confirmé;Réservoir de formation des étoiles;https://science.nasa.gov/universe/overview/building-blocks/
Galaxie;Cœur moléculaire dense;Gaz moléculaire dense, glaces sur grains;Basse température et forte densité;Nuages moléculaires;Confirmé;Formation protostellaire;https://science.nasa.gov/universe/overview/building-blocks/
Galaxie;Poussière interstellaire;Silicates, carbone, glaces, métaux;Grains solides;Milieu interstellaire;Confirmé;Catalyse chimique et extinction;https://science.nasa.gov/universe/overview/building-blocks/
Étoile;Cœur stellaire;Plasma, noyaux en fusion, photons, neutrinos;Très haute température et pression;Étoiles actives;Confirmé par modèles et observations;Site de nucléosynthèse;https://science.nasa.gov/universe/overview/building-blocks/
Étoile;Zone radiative;Plasma transportant l'énergie par rayonnement;Haute température;Intérieur stellaire;Inféré et modélisé;Transport radiatif;https://science.nasa.gov/universe/overview/building-blocks/
Étoile;Zone convective;Plasma en mouvement collectif;Gradient instable;Intérieur et enveloppe stellaire;Inféré et observé indirectement;Mélange de matière;https://science.nasa.gov/universe/overview/building-blocks/
Étoile;Photosphère;Plasma partiellement ionisé et atomes;Température de surface stellaire;Surface visible des étoiles;Confirmé;Source des spectres stellaires;https://science.nasa.gov/universe/overview/building-blocks/
Étoile;Chromosphère et couronne;Plasma magnétisé;Températures élevées;Atmosphères stellaires;Confirmé;Vents et éruptions;https://science.nasa.gov/universe/overview/building-blocks/
Résidu stellaire;Naine blanche;Matière dégénérée électronique, noyaux de C, O, Ne ou autres;Très haute densité;Résidus stellaires;Confirmé;Refroidissement lent;https://science.nasa.gov/universe/overview/building-blocks/
Résidu stellaire;Étoile à neutrons, croûte;Noyaux riches en neutrons, électrons, neutrons libres;Densité extrême;Étoiles à neutrons;Inféré;Cristal nucléaire et pâtes nucléaires possibles;https://science.nasa.gov/universe/overview/building-blocks/
Résidu stellaire;Étoile à neutrons, cœur;Neutrons, protons, leptons, phases possibles;Densité supra-nucléaire;Étoiles à neutrons;Inféré;Composition exacte inconnue;https://science.nasa.gov/universe/overview/building-blocks/
Objet compact;Disque d'accrétion;Plasma, gaz, poussières selon régime;Température et densité variables;Autour d'étoiles, naines blanches, trous noirs;Confirmé;Transport de masse et moment angulaire;https://science.nasa.gov/universe/overview/building-blocks/
Objet compact;Jet relativiste;Plasma de leptons et baryons, champs magnétiques;Vitesses relativistes;Noyaux actifs, microquasars;Confirmé;Composition parfois incertaine;https://science.nasa.gov/universe/overview/building-blocks/
