relation_id,source_stage,target_stage,relation_type,directness,source_ids,scope
R-QE-01,GC-QE01,GC-QE02,qualified_genealogical_order,cross_system_analogue_or_mechanism,S001;S002;S003;S004,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-02,GC-QE02,GC-QE03,same_history_or_archive_order,same_system_or_material_archive,S003;S004;S029,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-03,GC-QE03,GC-QE04,same_history_or_archive_order,same_system_or_material_archive,S029;S010;S030;S031,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-04,GC-QE04,GC-QE05,qualified_genealogical_order,cross_system_analogue_or_mechanism,S010;S030;S031;S005,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-05,GC-QE05,GC-QE06,observational_or_experimental_correspondence,cross_system_analogue_or_mechanism,S005;S006,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-06,GC-QE06,GC-QE07,qualified_genealogical_order,cross_system_analogue_or_mechanism,S006;S007,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-07,GC-QE07,GC-QE08,observational_or_experimental_correspondence,cross_system_analogue_or_mechanism,S007;S008;S009;S033,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-08,GC-QE08,GC-QE09,qualified_genealogical_order,cross_system_analogue_or_mechanism,S008;S009;S033;S024,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-09,GC-QE09,GC-QE10,qualified_genealogical_order,cross_system_analogue_or_mechanism,S024;S011;S012;S013;S015,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-10,GC-QE10,GC-QE11,same_history_or_archive_order,same_system_or_material_archive,S011;S012;S013;S015;S014,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-11,GC-QE11,GC-QE12,qualified_genealogical_order,empirical_sequence_without_unique_dynamics,S014;S031;S032,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-12,GC-QE12,GC-QE13,qualified_genealogical_order,empirical_sequence_without_unique_dynamics,S031;S032;S016,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-13,GC-QE13,GC-QE14,same_history_or_archive_order,same_system_or_material_archive,S016,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-14,GC-QE14,GC-QE15,qualified_genealogical_order,empirical_sequence_without_unique_dynamics,S016;S019,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-15,GC-QE15,GC-QE16,qualified_genealogical_order,empirical_sequence_without_unique_dynamics,S019;S020,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
