claim_id,question,verdict,directness,source_count,same_system_or_scope,what_it_establishes,what_it_does_not_establish
C-GC-E01,Les observations réelles montrent-elles que la composition disponible change entre l’inventaire primordial léger et les produits stellaires ultérieurs ?,supports_empirical_enrichment_sequence,direct_observation_plus_observational_reconstruction,4,Contraste empirique entre abondances primordiales reconstruites depuis spectres et noyaux produits par des étoiles/explosions détectés directement; aucune table de rendement théorique n’est utilisée.,composition_available_changes_across_cosmic_history,Aucune trajectoire unique ni causalité plus forte que la directness déclarée.
C-GC-E02,Observe-t-on directement la conversion d’éjecta stellaires enrichis en poussière solide ?,supports_observed_stellar_dust_formation,same_object_astronomical_observation,2,SN1987A fournit un cas observationnel où les produits de l’explosion et une grande masse de poussière froide sont mesurés dans les éjecta. La masse est issue de la photométrie publiée; aucun rendement simulé n’est utilisé.,stellar_ejecta_produce_persistent_solid_dust,Aucune trajectoire unique ni causalité plus forte que la directness déclarée.
C-GC-E03,De la matière formée avant le Système solaire est-elle encore mesurable dans plusieurs corps primitifs retournés ?,supports_replicated_direct_material_inheritance,multi_mission_returned_sample_direct_measurement,3,"Transmission matérielle directe observée indépendamment dans Bennu, Ryugu et Wild 2. Le total de grains est un minimum de détections des études citées, pas une abondance combinée comparable.",stellar_material_survives_as_presolar_grains,Aucune trajectoire unique ni causalité plus forte que la directness déclarée.
C-GC-E04,Les grains et glaces sont-ils déjà transformés dans les nuages denses avant la phase protostellaire ?,supports_pre_stellar_material_processing,direct_astronomical_observation,2,"Analogue astrophysique de l’amont de systèmes planétaires, pas observation du nuage protosolaire historique.",ice_inventory_and_grain_growth_precede_protostar,Aucune trajectoire unique ni causalité plus forte que la directness déclarée.
C-GC-E05,Observe-t-on un transfert réel de matière du nuage vers les échelles du disque ?,supports_observed_cloud_to_disk_supply,replicated_direct_astronomical_observation,2,Deux systèmes protostellaires indépendants montrent des streamers à l’échelle de milliers d’au. Cela réplique l’existence physique du canal d’apport sans reconstruire l’histoire particulière du Soleil.,large_scale_material_stream_feeds_disk_scales,Aucune trajectoire unique ni causalité plus forte que la directness déclarée.
C-GC-E06,Des signatures moléculaires formées en phase froide sont-elles observées jusque dans les disques et compatibles avec des matériaux cométaires ?,supports_observational_molecular_inheritance,cross_system_observational_consistency,3,V883 Ori/67P testent la continuité isotopique de l’eau; TW Hya apporte une détection indépendante de CH3OH. Les abondances modélisées de TW Hya sont exclues.,molecular_and_isotopic_signatures_survive_across_formation_stages,Aucune trajectoire unique ni causalité plus forte que la directness déclarée.
C-GC-E07,La formation de solides réfractaires est-elle directement observable dans un disque planétaire jeune ?,supports_observed_refractory_solid_formation,direct_astronomical_observation_plus_same_object_time_domain_contrast,2,HOPS-315 fournit une détection de solides réfractaires dans un jeune disque. EC 53 ajoute un contraste temporel du même objet: forstérite et enstatite sont absentes en quiescence et détectées pendant le burst. Les modèles de transport restent exclus.,hot_gas_and_crystalline_refractory_solids_are_observed_and_crystalline_state_changes_with_burst,Aucune trajectoire unique ni causalité plus forte que la directness déclarée.
C-GC-E08,Les archives réelles du disque solaire montrent-elles une architecture isotopique et temporelle non homogène ?,supports_persistent_nebular_heterogeneity,returned_sample_and_meteorite_measurements,6,Les causes dynamiques exactes de la séparation NC/CC et de l’hétérogénéité ne sont pas imposées.,isotopic_reservoirs_and_time_order_are_recorded_in_solids,Aucune trajectoire unique ni causalité plus forte que la directness déclarée.
C-GC-E09,Des échantillons cométaires retournés enregistrent-ils une redistribution de matériaux formés dans des régimes thermiques différents ?,supports_empirical_solar_disk_material_redistribution,returned_sample_mineralogy_and_isotopes,2,La coexistence de stardust et de matériaux réfractaires/haute température dans Wild 2 soutient un mélange/transport à grande échelle. Aucun scénario dynamique ni distance de transport n’est calculé ici.,high_temperature_and_presolar_material_coexist_in_outer_comet,Aucune trajectoire unique ni causalité plus forte que la directness déclarée.
C-GC-E10,La succession CAI/chondres est-elle quantitativement ordonnée par chronométrie directe ?,supports_measured_early_solar_chronology,meteoritic_chronometry,1,Âges Pb-Pb U-corrigés mesurés sur inclusions et chondres; aucune horloge synthétique n’est utilisée.,absolute_PbPb_ages_record_time_order_and_duration,Aucune trajectoire unique ni causalité plus forte que la directness déclarée.
