test_id,decision,destination,rang_action,motif_code
S1-001,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
S1-002,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
S1-003,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
S1-004,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S1-005,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
S1-006,GARDER,noyau_probant,3,VALEUR_PREDICTIVE
S1-007,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
S1-008,VIRER,qa_exploratoire,,ROBUSTESSE_PARAMETRIQUE
S1-009,VIRER,qa_exploratoire,,QA_SIMULATION
S1-010,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S1-011,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S1-012,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S1-013,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S1-014,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S1-015,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S1-016,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
S1-017,GARDER,noyau_probant,3,VALEUR_PREDICTIVE
S1-018,GARDER,noyau_probant,2,CONTROLE_ANTI_FAUX_POSITIF
S1-019,VIRER,qa_exploratoire,,QA_SIMULATION
S1-020,VIRER,qa_exploratoire,,QA_SIMULATION
S1-021,VIRER,qa_exploratoire,,QA_SIMULATION
S1-022,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S1-023,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S1-024,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S1-025,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
S1-026,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
S1-027,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S1-028,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S1-029,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
S1-030,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S1-031,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S1-032,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S1-033,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
