source;target;relation;code_cible;note_codage;portee_du_lien;niveau_preuve;mode_preuve;justification;limite_interpretative;reference_cle
TR-001;TR-004;CNST;CNST;;contrainte;Plausible;Simulation + reconstruction;Les masses et couplages issus du régime électrofaible brisé contraignent les réactions et abondances de la nucléosynthèse primordiale.;"Indique une contrainte sur le domaine accessible; elle ne fixe pas à elle seule l’issue historique.";"Particle Data Group, Review of Particle Physics (2024; mise à jour 2025), sections cosmologie et nucléosynthèse primordiale."
TR-002;TR-004;CNST;CNST;;contrainte sur l’inventaire baryonique;Établi;Observation + reconstruction;L’asymétrie matière-antimatière détermine la quantité baryonique nette qui subsiste après les annihilations et constitue un paramètre d’entrée de la nucléosynthèse primordiale. Elle ne cause pas le confinement des quarks.;"Le mécanisme ayant produit l’asymétrie reste inconnu; le lien porte sur l’abondance baryonique nette disponible pour la nucléosynthèse.";"Particle Data Group (2024/2025); Schöneberg, JCAP 2024(06), 006, doi:10.1088/1475-7516/2024/06/006."
TR-003;TR-004;MATR;MATR;;fourniture de constituants;Établi;Observation + reconstruction;Les protons et neutrons issus du confinement fournissent les constituants de la nucléosynthèse primordiale.;"Indique une contribution matérielle; les constituants peuvent aussi provenir d’autres voies ou réservoirs.";"Particle Data Group (2024/2025); Wilson, Phys. Rev. D 10, 2445-2459 (1974), doi:10.1103/PhysRevD.10.2445."
TR-004;TR-005;MATR;MATR;;fourniture de constituants;Établi;Observation + reconstruction;Les noyaux légers produits dans l’Univers primordial s’associent ensuite aux électrons lors de la recombinaison.;"Indique une contribution matérielle; les constituants peuvent aussi provenir d’autres voies ou réservoirs.";"Particle Data Group (2024/2025); Cooke, Big Bang Nucleosynthesis, arXiv:2409.06015."
TR-005;TR-011;ENBL;ENBL;;ouverture ou dépendance;Fortement inféré;Observation + reconstruction;Au cours de la recombinaison cosmologique, l’hélium devient neutre avant l’hydrogène. L’hélium neutre peut alors s’associer radiativement aux protons pour former HeH+.;Le lien vise la recombinaison de l’hélium, pas l’achèvement de la recombinaison de l’hydrogène.;Güsten et al., Nature 568, 357-359 (2019), doi:10.1038/s41586-019-1090-x.
TR-005;TR-012;ENBL;ENBL;;ouverture ou dépendance;Fortement inféré;Reconstruction + simulation;La recombinaison rend possible la formation durable de H2 et HD dans le gaz primordial.;"Indique une ouverture ou un préalable dans ce cadre; ne signifie pas que la source suffit à produire la cible.";Galli & Palla, Annual Review of Astronomy and Astrophysics 51, 163-206 (2013), doi:10.1146/annurev-astro-082812-141029.
TR-012;TR-006;ENBL;ENBL;;ouverture ou dépendance;Fortement inféré;Simulation;Le refroidissement par H2 et HD facilite l’effondrement des premiers nuages stellaires.;"Indique une ouverture ou un préalable dans ce cadre; ne signifie pas que la source suffit à produire la cible.";Klessen & Glover, Annual Review of Astronomy and Astrophysics 61, 65-130 (2023), doi:10.1146/annurev-astro-071221-053453.
TR-006;TR-007;ENBL;ENBL;;ouverture ou dépendance;Fortement inféré;Reconstruction + simulation;La formation des premières étoiles ouvre la nucléosynthèse stellaire. L’existence historique des étoiles de Population III est très fortement inférée, mais leurs masses et leur distribution restent ouvertes.;La relation est reconstruite et simulée. Aucune étoile de Population III n’a encore été identifiée individuellement de manière incontestable.;Klessen & Glover (2023), doi:10.1146/annurev-astro-071221-053453.
TR-006;TR-008;ENBL;ENBL;;ouverture ou dépendance;Plausible;Observation + reconstruction;La formation et l’évolution d’étoiles de masse faible ou intermédiaire rendent possibles les phases AGB.;"Indique une ouverture ou un préalable dans ce cadre; ne signifie pas que la source suffit à produire la cible.";"Klessen & Glover (2023); Zinner, Presolar Grains, Treatise on Geochemistry (2014)."
TR-007;TR-009;MATR;MATR;;fourniture de constituants;Établi;Observation + reconstruction;Les noyaux synthétisés dans les étoiles sont les matériaux dispersés lors des explosions stellaires.;"Indique une contribution matérielle; les constituants peuvent aussi provenir d’autres voies ou réservoirs.";Burbidge et al., Reviews of Modern Physics 29, 547-650 (1957), doi:10.1103/RevModPhys.29.547.
