id;parents_materiels;produit;epoque;milieu;mecanisme;conditions_necessaires;transformations_intermediaires;proprietes_nouvelles;possibilites_ouvertes;possibilites_fermees;voies_concurrentes;preuve_experimentale;preuve_observationnelle;degre_de_certitude;transition_suivante;preuve_du_mecanisme;preuve_en_milieu_naturel;preuve_de_la_transition_historique;certitude_du_role_causal;statut_evaluation_certitudes
GM-001;quarks | gluons;nucléons | protons | neutrons;~10⁻⁵ s après le Big Bang;plasma de quarks et gluons;confinement de la charge de couleur sous le seuil de température de transition QCD;"T ≈ 150–170 MeV ; densité baryonique non nulle";"hadronisation ; annihilation des paires quark-antiquark";objets composites de charge entière, masse dominée par l'énergie de liaison et non par les quarks;"liaison nucléaire ; nucléosynthèse";quarks libres, définitivement inaccessibles;aucune connue dans ce régime;collisions d'ions lourds, RHIC et LHC;abondance baryonique du fond diffus;établi;GM-002;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GM-002;nucléons;deutérium;~100 s après le Big Bang;plasma primordial en expansion;capture radiative p + n → D + γ;"T < 0,1 MeV, sous le seuil de photodissociation ; rapport baryon/photon ≈ 6 × 10⁻¹⁰";goulet du deutérium : la réaction n'aboutit qu'après refroidissement;premier noyau composite stable;chaîne vers hélium 4 et lithium 7;aucune;photodissociation, dominante avant refroidissement;sections efficaces mesurées en laboratoire;D/H dans les systèmes Lyman-α à faible métallicité;établi;GM-003;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GM-003;deutérium | nucléons;hélium 4 | hélium 3 | lithium 7;~3 à 20 min;plasma primordial;chaînes de fusion D(p,γ)³He, D(D,n)³He, ³He(D,p)⁴He;"densité et température maintenues assez longtemps ; expansion limitant la durée";gel des abondances par expansion;noyaux à liaison forte, He-4 très stable;chimie de l'hydrogène et de l'hélium;éléments de masse 5 et 8 : aucun noyau stable, la chaîne primordiale s'arrête là;capture neutronique, marginale à cette densité;réseau de réactions nucléaires mesuré;Y_p ≈ 0,247 dans les régions H II pauvres en métaux;établi;GM-004;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GM-004;hélium 4 | deutérium | électrons;atomes neutres;~380 000 ans;univers en expansion;recombinaison : capture électronique sous le seuil d'ionisation;"T ≈ 3 000 K ; densité de photons ionisants décroissante";recombinaison de l'hélium avant celle de l'hydrogène;"neutralité électrique ; transparence au rayonnement";"chimie ; découplage matière-rayonnement";couplage Thomson matière-photon;réionisation ultérieure, qui n'annule pas la chimie en milieu dense;spectroscopie atomique;fond diffus cosmologique et son spectre de puissance;établi;GM-005;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GM-005;atomes neutres;dihydrogène H₂;z ≈ 100 à 20;gaz primordial sans poussière;voie H⁻ : H + e⁻ → H⁻ + γ, puis H⁻ + H → H₂ + e⁻;"fraction d'électrons résiduels ; absence de grains, donc pas de voie de surface";voie H₂⁺ minoritaire;refroidissement radiatif possible sous 10 000 K;"effondrement des premiers halos ; premières étoiles";aucune;formation sur grains, impossible faute de grains;taux de réaction mesurés;"inféré ; H₂ primordial non observé directement";fortement inféré;GM-006;fortement inféré;fortement inféré;fortement inféré;fortement inféré;préliminaire - revue bibliographique indépendante requise
GM-006;dihydrogène H₂ | atomes neutres;premières étoiles;z ≈ 30 à 20;mini-halos de matière noire;effondrement gravitationnel refroidi par les transitions rovibrationnelles de H₂;"masse de halo suffisante ; fraction de H₂ ≈ 10⁻³";fragmentation limitée par l'inefficacité du refroidissement;cœurs à températures de fusion, > 10⁷ K;nucléosynthèse au-delà du lithium;aucune;refroidissement HD, efficace seulement à basse température;sans objet;étoiles extrêmement pauvres en métaux, signatures de seconde génération;fortement inféré;GM-007;fortement inféré;fortement inféré;fortement inféré;fortement inféré;préliminaire - revue bibliographique indépendante requise
GM-007;hélium 4;carbone 12;dès la première génération stellaire;cœur d'étoile en combustion de l'hélium;processus triple-alpha, via l'état résonant de Hoyle à 7,65 MeV;"T ≈ 10⁸ K ; densité ≈ 10⁵ g/cm³";⁸Be intermédiaire, durée de vie 10⁻¹⁶ s;premier élément à valence quatre, base de la chimie covalente complexe;"toute la chimie organique ; capture alpha vers O, Ne, Mg, Si";aucune;aucune voie stable ne franchit la masse 8 autrement;état de Hoyle mesuré, prédit par Hoyle en 1954;abondances de carbone dans les géantes AGB;établi;GM-008;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GM-008;carbone 12 | hélium 4;oxygène | néon | magnésium | silicium | soufre;évolution stellaire avancée;couches en combustion;captures alpha successives;"températures croissantes par couche ; masse stellaire suffisante";structure en pelures d'oignon;éléments formateurs de réseaux silicatés;"minéralogie silicatée ; eau";aucune;combustion du carbone et de l'oxygène en cœur massif;sections efficaces de capture alpha;rapports alpha/Fe des populations stellaires;établi;GM-009;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GM-009;silicium | soufre;pic du fer : Fe, Ni, Co;dernières heures d'une étoile massive;cœur en combustion du silicium;quasi-équilibre statistique nucléaire, photodésintégration et recapture;T > 3 × 10⁹ K;production de ⁵⁶Ni, désintégré en ⁵⁶Fe;maximum d'énergie de liaison par nucléon : aucune fusion n'est plus exothermique;"effondrement du cœur ; supernova ; dispersion";**fusion exothermique au-delà du fer, fermée définitivement**;aucune;courbe d'énergie de liaison mesurée;courbes de lumière de supernovæ dominées par la décroissance ⁵⁶Ni → ⁵⁶Co → ⁵⁶Fe;établi;GM-010;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GM-010;pic du fer : Fe, Ni, Co | neutrons;éléments lourds, voie s;phase AGB;couche riche en hélium des étoiles AGB;captures neutroniques lentes devant la décroissance bêta;"flux neutronique lent ; source ¹³C(α,n)¹⁶O ; densité neutronique ≈ 10⁷ cm⁻³";cheminement le long de la vallée de stabilité;éléments jusqu'au plomb et au bismuth;chimie des métaux lourds;au-delà du bismuth, la voie s bute sur l'instabilité alpha;voie r, dans les fusions d'étoiles à neutrons;sections efficaces neutroniques mesurées;technétium dans les spectres AGB — preuve directe de synthèse in situ;établi;GM-013;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
