stage_id;ordre;nom;source_count;primary_source_count;claim_count;source_types;evidence_modes;status;non_demontre
GC-001;1;Nucléosynthèse stellaire multi-générationnelle;6;6;2;article primaire | article primaire + données;modélisation stellaire;mesuré/modélisé;le passage jusqu'à la composition protosolaire exacte
GC-002;2;Éjections AGB et vents stellaires;3;3;1;article primaire + données | article primaire, échantillons retournés;NanoSIMS + géochimie sur Bennu | modélisation stellaire;soutenu;fraction exacte incorporée au nuage protosolaire
GC-003;3;Supernovæ, explosions et radionuclides courts;5;5;3;article primaire;géochronologie Pb-Pb + Al-Mg | modélisation stellaire | échantillon météoritique / isotopes;soutenu, origine détaillée ouverte;source unique du 26Al protosolaire
GC-004;4;Survie de grains présolaires;4;4;1;article primaire | article primaire, échantillons retournés;NanoSIMS + géochimie sur Bennu | isotopes Pd de groupes de météorites de fer | isotopes de grains présolaires | échantillon météoritique / isotopes;soutien direct étroit;bilan de masse global de chaque source stellaire
GC-005;5;Enrichissement et mélange du milieu interstellaire;7;6;1;article de synthèse quantitative | article primaire | article primaire, Genesis | article quantitatif;cosmochimie + thermodynamique | isotopes Pd de groupes de météorites de fer | isotopes météoritiques | isotopes météoritiques + modèle de mélange | simulation hydrodynamique poussières + SLR | spectroscopie solaire | échantillons de vent solaire;soutenu pour enrichissement, histoire locale partielle;trajectoire unique du nuage solaire à travers la Galaxie
GC-006;6;Nuage moléculaire enrichi, glaces et organiques;4;4;1;article primaire;isotopes météoritiques + modèle de mélange | observation ALMA, analogue externe | observation NOEMA + ALMA | simulation hydrodynamique poussières + SLR;soutenu, Solar System direct incomplet;composition exacte du cœur protosolaire avant effondrement
GC-007;7;Effondrement du cœur protosolaire;4;4;1;article primaire;isotopes météoritiques + modèle de mélange | observation ALMA, analogue externe | observation NOEMA + ALMA | simulation de collapse gaz-poussière;fortement soutenu comme processus général;conditions initiales exactes du cœur solaire
GC-008;8;Héritage nuage → disque;7;7;2;article primaire | article primaire + données | article primaire, échantillons retournés;ALMA, continuum 1.25 mm | NanoSIMS + géochimie sur Bennu | isotopes météoritiques + modèle de mélange | observation ALMA, analogue externe | observation NOEMA + ALMA | observation radio-interférométrique | simulation de collapse gaz-poussière;soutenu par plusieurs modes, fraction solaire non fermée;fraction exacte héritée dans le disque solaire
GC-009;9;Réservoirs isotopiques et apport tardif dans le disque;9;8;1;article primaire | article primaire + données | article primaire, Genesis | revue;ALMA, continuum 1.25 mm | isotopes Mo-W + chronométrie + interprétation dynamique | isotopes Pd de groupes de météorites de fer | isotopes météoritiques | isotopes météoritiques + modèle de mélange | observation radio-interférométrique | simulation + base isotopique | synthèse cosmochimique | échantillons de vent solaire;hétérogénéité soutenue, mécanismes non uniques;modèle unique NC/CC ou barrière jovienne unique
GC-010;10;Condensation et minéralogie accessible;4;4;1;article primaire | article quantitatif;cosmochimie + thermodynamique | modèle cinétique de condensation confronté aux météorites | modèle dynamique + thermodynamique du disque | thermodynamique de condensation;soutenu comme cadre, cinétique locale ouverte;équilibre local parfait dans le disque réel
GC-011;11;Formation des CAI;4;4;2;article primaire;géochronologie Pb-Pb + Al-Mg | géochronologie Pb-Pb / météorites | modèle cinétique de condensation confronté aux météorites | thermodynamique de condensation;établi pour l'existence/âge relatif, contexte spatial partiel;site unique de formation de toutes les CAI
GC-012;12;Chondres, remaniement et recyclage;4;4;3;article primaire;géochronologie Pb-Pb / météorites | isotopes météoritiques | isotopes météoritiques + modèle de mélange | modèle cinétique de condensation confronté aux météorites;établi pour le remaniement, mécanisme non unique;mécanisme unique de chauffage des chondres
GC-013;13;Coagulation poussières → agrégats;3;3;0;article primaire;modèle de coagulation physique | modèle de disque + contraintes cosmochimiques | simulation hydrodynamique + auto-gravité;mécanismes partiels établis;franchissement automatique de toutes les barrières de croissance
GC-014;14;Galets, dérive et pièges de pression;8;8;1;article primaire | article primaire + données;ALMA, continuum 1.25 mm | modèle de coagulation physique | modèle de disque + contraintes cosmochimiques | modèle dynamique + thermodynamique du disque | simulation + modèle analytique | simulation de formation planétaire | simulation hydrodynamique + auto-gravité | simulation poussière + N-corps;soutenu comme mécanisme général;configuration exacte des bosses de pression solaires
GC-015;15;Concentration collective / streaming;2;2;1;article primaire;modèle de disque + contraintes cosmochimiques | simulation hydrodynamique + auto-gravité;"soutien modèle; H011 local mechanistic_threshold_supported";valeur universelle du seuil dans tout disque
GC-016;16;Planétésimaux;4;4;2;article primaire;modèle de disque + contraintes cosmochimiques | simulation de formation planétaire | simulation hydrodynamique + auto-gravité | simulation poussière + N-corps;fortement soutenu, voie non unique;voie unique de formation de tous les planétésimaux
GC-017;17;Temps d’accrétion + 26Al → destin thermique;3;3;1;article primaire;chronométrie Pb-Pb + isotopes Mg | chronométrie isotopique | géochronologie Pb-Pb + Al-Mg;"soutenu; hétérogénéité à conserver";26Al initial spatialement homogène universel
GC-018;18;Différenciation des petits corps / protoplanètes;4;4;2;article primaire;chronométrie Hf-W météoritique | chronométrie Pb-Pb + isotopes Mg | chronométrie isotopique | géochronologie Pb-Pb + Al-Mg;établi pour différenciation, trajectoires variables;destin identique à taille égale sans tenir compte de l'histoire
GC-019;19;Embryons planétaires;5;5;1;article primaire;chronométrie Hf-W météoritique | chronométrie isotopique | simulation + modèle analytique | simulation de formation planétaire | simulation poussière + N-corps;soutenu pour existence/rapidité de certaines trajectoires;séquence unique de croissance de chaque planète
GC-020;20;Accrétion des planètes telluriques;5;5;2;article primaire | article primaire + données;chronométrie Hf-W météoritique | chronométrie isotopique | isotopes Mo + modèle d’accrétion | simulation dynamique | simulation poussière + N-corps;soutenu, scénarios concurrents;chemin unique ou composition unique des impacteurs
GC-021;21;Croissance des géantes et structuration du disque;8;7;1;article primaire | revue;isotopes Mo-W + chronométrie + interprétation dynamique | modèle dynamique + thermodynamique du disque | simulation + base isotopique | simulation + modèle analytique | simulation de formation planétaire | simulation dynamique | simulation poussière + N-corps | synthèse cosmochimique;efficacité plausible/forte, causalité historique non unique;Jupiter comme cause unique de toute dichotomie isotopique
GC-022;22;Migration, instabilités et réorganisation planétaire;4;4;1;article primaire | article primaire + données;isotopes Mo + modèle d’accrétion | simulation dynamique | simulation poussière + N-corps;"plusieurs familles compatibles; histoire exacte ouverte";une trajectoire historique unique vers le présent
GC-023;23;Architecture actuelle et raccordement à C-AST;3;3;3;article primaire | article primaire + données;isotopes Mo + modèle d’accrétion | simulation dynamique | simulation poussière + N-corps;HANDOFF OUVERT: amont non fermé, aval C-AST certifié E4_model;dérivation quantitative continue formation → mêmes conditions initiales C-AST
