test_id,wp,section,description,decision,priorite_tri,role_ou_raison,confirmatory,mode,engine,required_datasets,technical_outcome,scientific_verdict,dataset_cible,cause_blocage,action,source_line
S1-001,S1,"S1.1 Les six dimensions `n, G, I, E, Π, H`",Vérifier qu’elles peuvent être codées sans chevauchement complet sur au moins 100 systèmes provenant des trois branches.,GARDER,P3,mesure/contrôle nécessaire à une preuve forte,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Acquérir/relier la donnée admissible : aucun_dataset_declare.,115
S1-002,S1,"S1.1 Les six dimensions `n, G, I, E, Π, H`",Mesurer l’accord entre plusieurs codeurs indépendants.,GARDER,P3,réplication indépendante,False,human_review,core_formal,,not_run,not_applicable,,,Exécuter humainement/laboratoire/externe sans modifier le critère.,116
S1-003,S1,"S1.1 Les six dimensions `n, G, I, E, Π, H`",Calculer la stabilité du codage après retrait du nom du domaine.,GARDER,P3,mesure/contrôle nécessaire à une preuve forte,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Acquérir/relier la donnée admissible : aucun_dataset_declare.,117
S1-004,S1,"S1.1 Les six dimensions `n, G, I, E, Π, H`",Tester des cas limites où une variable peut appartenir à deux dimensions.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,118
S1-005,S1,"S1.1 Les six dimensions `n, G, I, E, Π, H`","Comparer une version à six dimensions à des versions réduites à cinq, quatre et trois dimensions.",GARDER,P3,mesure/contrôle nécessaire à une preuve forte,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Acquérir/relier la donnée admissible : aucun_dataset_declare.,119
S1-006,S1,"S1.1 Les six dimensions `n, G, I, E, Π, H`",Tester si l’ajout de chaque dimension améliore réellement une tâche de classification ou de prédiction.,GARDER,P3,valeur prédictive,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Acquérir/relier la donnée admissible : aucun_dataset_declare.,120
S1-007,S1,"S1.1 Les six dimensions `n, G, I, E, Π, H`",Mesurer la redondance entre dimensions par information mutuelle et corrélations conditionnelles.,GARDER,P3,mesure/contrôle nécessaire à une preuve forte,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Acquérir/relier la donnée admissible : aucun_dataset_declare.,121
S1-008,S1,"S1.1 Les six dimensions `n, G, I, E, Π, H`",Vérifier l’invariance des conclusions sous plusieurs normalisations.,VIRER,,"balayage exploratoire/paramétrique : intégrer comme robustesse, pas comme test autonome",False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,122
S1-009,S1,"S1.2 Séparation `X`, `m` et `A`",Construire des systèmes synthétiques où la vérité est connue.,VIRER,,"simulation/synthétique : garde-fou méthodologique, pas preuve externe",False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,126
S1-010,S1,"S1.2 Séparation `X`, `m` et `A`",Produire des changements d’état sans changement d’opérateur.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,127
S1-011,S1,"S1.2 Séparation `X`, `m` et `A`",Produire des changements de paramètres structurels.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,128
S1-012,S1,"S1.2 Séparation `X`, `m` et `A`",Produire des changements de topologie.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,129
S1-013,S1,"S1.2 Séparation `X`, `m` et `A`",Tester si la règle ORI-C classe correctement les trois cas.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,130
S1-014,S1,"S1.2 Séparation `X`, `m` et `A`",Comparer cette classification à des méthodes de détection de changement de régime.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,131
S1-015,S1,"S1.2 Séparation `X`, `m` et `A`",Tester la dépendance au niveau de description.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,132
S1-016,S1,"S1.2 Séparation `X`, `m` et `A`",Mesurer l’accord entre codeurs sur des cas empiriques.,GARDER,P3,mesure/contrôle nécessaire à une preuve forte,False,human_review,core_formal,,not_run,not_applicable,,,Exécuter humainement/laboratoire/externe sans modifier le critère.,133
S1-017,S1,"S1.2 Séparation `X`, `m` et `A`",Vérifier si un changement classé architectural améliore la prédiction d’une réponse future.,GARDER,P3,valeur prédictive,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Acquérir/relier la donnée admissible : aucun_dataset_declare.,134
S1-018,S1,"S1.2 Séparation `X`, `m` et `A`",Rechercher des faux positifs où une dérive lente de paramètres ressemble à une transformation architecturale.,GARDER,P2,contrôle anti-faux-positif,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Acquérir/relier la donnée admissible : aucun_dataset_declare.,135
S1-019,S1,S1.3 Mémoire distribuée,Simuler une mémoire unique à noyau fixe.,VIRER,,"simulation/synthétique : garde-fou méthodologique, pas preuve externe",False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,139
S1-020,S1,S1.3 Mémoire distribuée,Simuler plusieurs mémoires indépendantes.,VIRER,,"balayage exploratoire/paramétrique : intégrer comme robustesse, pas comme test autonome",False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,140
S1-021,S1,S1.3 Mémoire distribuée,Simuler plusieurs mémoires couplées.,VIRER,,"balayage exploratoire/paramétrique : intégrer comme robustesse, pas comme test autonome",False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,141
S1-022,S1,S1.3 Mémoire distribuée,Rendre les noyaux dépendants de l’état.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,142
S1-023,S1,S1.3 Mémoire distribuée,Faire varier les constantes de temps sur plusieurs ordres de grandeur.,VIRER,,"balayage exploratoire/paramétrique : intégrer comme robustesse, pas comme test autonome",False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,143
S1-024,S1,S1.3 Mémoire distribuée,Comparer une intégrale cumulée unique à un modèle multi-mémoires.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,144
S1-025,S1,S1.3 Mémoire distribuée,Tester l’identifiabilité du nombre de mémoires.,GARDER,P3,mesure/contrôle nécessaire à une preuve forte,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Acquérir/relier la donnée admissible : aucun_dataset_declare.,145
S1-026,S1,S1.3 Mémoire distribuée,Tester la capacité à distinguer mémoire longue et attracteur multiple.,GARDER,P3,mesure/contrôle nécessaire à une preuve forte,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Acquérir/relier la donnée admissible : aucun_dataset_declare.,146
S1-027,S1,S1.3 Mémoire distribuée,Tester le transfert d’une trace rapide vers un compartiment lent.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,147
S1-028,S1,S1.3 Mémoire distribuée,Tester le transfert inverse.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,148
S1-029,S1,S1.3 Mémoire distribuée,Mesurer la durée nécessaire pour éviter de confondre relaxation et inscription.,GARDER,P3,mesure/contrôle nécessaire à une preuve forte,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Acquérir/relier la donnée admissible : aucun_dataset_declare.,149
S1-030,S1,S1.3 Mémoire distribuée,"Comparer modèles convolutionnels, espaces d’état, équations différentielles retardées et réseaux récurrents contraints.",VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,150
S1-031,S1,S1.4 Diagnostic `D-H-L`,Générer des systèmes présentant `D` seul.,VIRER,,"simulation/synthétique : garde-fou méthodologique, pas preuve externe",False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,154
S1-032,S1,S1.4 Diagnostic `D-H-L`,Générer des systèmes présentant `H` seul.,VIRER,,"simulation/synthétique : garde-fou méthodologique, pas preuve externe",False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,155
S1-033,S1,S1.4 Diagnostic `D-H-L`,Générer des systèmes présentant `L` seul.,VIRER,,"simulation/synthétique : garde-fou méthodologique, pas preuve externe",False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,156
S1-034,S1,S1.4 Diagnostic `D-H-L`,Générer les quatre combinaisons doubles et la combinaison triple.,VIRER,,"simulation/synthétique : garde-fou méthodologique, pas preuve externe",False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,157
