Échelle;Transformation;Entrée ou mécanisme;Conditions;Produits ou effet;Statut;Note;Source URL
Échelle particulaire;Création de paire;Photon ou champ énergétique vers particule et antiparticule;Énergie suffisante et conservation des nombres quantiques;Particules et antiparticules;Confirmé;Inverse de l'annihilation;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle particulaire;Annihilation matière-antimatière;Particule et antiparticule vers photons ou autres particules;Rencontre et canaux autorisés;Rayonnement et particules secondaires;Confirmé;Conversion de masse au repos;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle particulaire;Désintégration faible;Particule instable vers états plus légers;Interaction faible;Leptons, hadrons, neutrinos;Confirmé;Change parfois la saveur;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle particulaire;Interaction forte;Quarks et gluons réorganisés;Énergies hadroniques;Hadrons et jets;Confirmé;Confinement et hadronisation;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle particulaire;Hadronisation;Quarks et gluons vers hadrons;Refroidissement ou éloignement;Mésons et baryons;Confirmé;Transition non perturbative;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle particulaire;Diffusion électromagnétique;Particules chargées et photons échangent énergie et impulsion;Champ électromagnétique;Trajectoires et états modifiés;Confirmé;Inclut diffusion Compton;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle nucléaire;Fusion nucléaire;Noyaux légers vers noyaux plus lourds;Température, densité ou confinement suffisants;Noyaux, énergie, neutrinos;Confirmé;Nucléosynthèse stellaire et laboratoire;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
Échelle nucléaire;Fission nucléaire;Noyau lourd vers fragments;Excitation ou instabilité;Fragments, neutrons, énergie;Confirmé;Spontanée ou induite;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
Échelle nucléaire;Capture neutronique;Noyau plus neutron vers isotope plus lourd;Flux de neutrons;Nucléide excité puis stabilisé;Confirmé;Processus s et r;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
Échelle nucléaire;Capture protonique;Noyau plus proton;Énergie suffisante;Noyau plus lourd;Confirmé;Nucléosynthèse explosive ou stellaire;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
Échelle nucléaire;Capture alpha;Noyau plus hélium 4;Énergie suffisante;Noyau plus lourd;Confirmé;Nucléosynthèse;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
Échelle nucléaire;Désintégration alpha;Noyau lourd vers noyau fils et hélium 4;Instabilité nucléaire;Élément transformé;Confirmé;Réduit Z de 2 et A de 4;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
Échelle nucléaire;Désintégration bêta moins;Neutron vers proton, électron et antineutrino;Instabilité neutronique;Isobare avec Z augmenté;Confirmé;Interaction faible;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
Échelle nucléaire;Désintégration bêta plus;Proton vers neutron, positron et neutrino;Énergie disponible;Isobare avec Z diminué;Confirmé;Interaction faible;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
Échelle nucléaire;Capture électronique;Noyau capture un électron;Énergie et état électronique adaptés;Neutrino et noyau fils;Confirmé;Change proton en neutron;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
Échelle nucléaire;Transition isomérique;État nucléaire excité vers état inférieur;Émission gamma ou conversion interne;Même nuclide à énergie moindre;Confirmé;Conserve A et Z;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
Échelle atomique;Ionisation;Atome ou molécule perd un ou plusieurs électrons;Rayonnement, collision, champ;Ion positif et électrons;Confirmé;Modifie réactivité et spectre;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle atomique;Attachement électronique;Atome ou molécule gagne un électron;Affinité électronique et collision;Ion négatif;Confirmé;Fréquent dans plasmas et chimie;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle atomique;Recombinaison;Ion positif et électron se lient;Refroidissement et collision;Atome ou ion moins chargé;Confirmé;Émet souvent un photon;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle atomique;Excitation électronique;Électron passe à un niveau supérieur;Absorption ou collision;État excité;Confirmé;Retour radiatif ou non radiatif;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle chimique;Formation de liaison covalente;Atomes partagent des électrons;Chemin réactionnel accessible;Molécule ou réseau;Confirmé;Dépend de la géométrie et de l'énergie;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle chimique;Formation de liaison ionique;Transfert de charge et attraction électrostatique;Potentiels chimiques adaptés;Sel, cristal, complexe;Confirmé;Souvent en solides ou solutions;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle chimique;Oxydoréduction;Transfert d'électrons;Donneur et accepteur couplés;États d'oxydation modifiés;Confirmé;Central en géologie et biologie;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle chimique;Acide-base;Transfert de proton ou paire électronique;Milieu et pH adaptés;Espèces protonées ou déprotonées;Confirmé;Régule spéciation;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle chimique;Polymérisation;Monomères vers chaîne ou réseau;Catalyse, énergie, concentrations;Polymère;Confirmé;Peut être réversible ou irréversible;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle chimique;Hydrolyse;Liaison rompue par l'eau;Eau et catalyse éventuelle;Fragments hydroxylés ou protonés;Confirmé;Biologie et altération;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle chimique;Photolyse;Molécule transformée par photon;Longueur d'onde absorbée;Radicaux, ions, produits;Confirmé;Atmosphères et astroglaces;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle chimique;Catalyse de surface;Réactions accélérées sur interface;Surface active;Produits chimiques;Confirmé;Grains interstellaires, minéraux, enzymes;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle de phase;Fusion;Solide vers liquide;Dépassement de la courbe de fusion;Liquide;Confirmé;Peut être partielle;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
