id;branche;parents_materiels;conditions_permissives;produit;inventaire_accessible;epoque;milieu;mecanisme;mecanisme_categorie;conditions_necessaires;transformations_intermediaires;proprietes_nouvelles;possibilites_ouvertes;possibilites_fermees;voies_concurrentes;preuve_experimentale;preuve_observationnelle;degre_de_certitude;transition_suivante;preuve_du_mecanisme;preuve_en_milieu_naturel;preuve_de_la_transition_historique;certitude_du_role_causal;statut_evaluation_certitudes
GA-001;1 matière;quarks | gluons;expansion cosmologique;nucléons | protons | neutrons;protons et neutrons libres;~10⁻⁵ s;plasma de quarks et gluons;confinement de la charge de couleur sous le seuil QCD;confinement;"T ≈ 150–170 MeV ; densité baryonique non nulle";"hadronisation ; annihilation des paires";objets composites, masse dominée par l'énergie de liaison;liaison nucléaire;quarks libres, définitivement;aucune connue;collisions d'ions lourds, RHIC et LHC;abondance baryonique du fond diffus;établi;GA-002;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GA-002;1 matière;nucléons;expansion cosmologique;deutérium;deutérium en trace, 2,5e-5 par H;~100 s;plasma primordial;capture radiative p + n → D + γ;fusion_nucleaire;"T < 0,1 MeV ; baryon/photon ≈ 6 × 10⁻¹⁰";goulet du deutérium;premier noyau composite stable;chaîne vers hélium et lithium;aucune;photodissociation avant refroidissement;sections efficaces mesurées;D/H des systèmes Lyman-α;établi;GA-003;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GA-003;1 matière;deutérium | nucléons;expansion cosmologique;hélium 4 | hélium 3 | lithium 7;"H et He seuls ; aucun métal";~3 à 20 min;plasma primordial;chaînes D(p,γ)³He, D(D,n)³He, ³He(D,p)⁴He;fusion_nucleaire;densité et durée avant dilution;gel des abondances par expansion;noyaux à forte liaison;chimie de l'hydrogène et de l'hélium;masses 5 et 8 : aucun noyau stable;capture neutronique, marginale;réseau nucléaire mesuré;Y_p ≈ 0,247 en régions H II pauvres;établi;GA-004;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GA-004;1 matière;hélium 4 | deutérium | électrons;expansion cosmologique;atomes neutres;"atomes neutres ; chimie possible";~380 000 ans;univers en expansion;capture électronique sous le seuil d'ionisation;recombinaison_electronique;T ≈ 3 000 K;hélium avant hydrogène;"neutralité ; transparence au rayonnement";"chimie ; découplage matière-rayonnement";couplage Thomson;réionisation ultérieure;spectroscopie atomique;fond diffus cosmologique;établi;GA-005;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GA-005;1 matière;atomes neutres | électrons;aucune;dihydrogène;H2 en phase gazeuse, sans surface disponible;z ≈ 100 à 20;gaz sans poussière;voie H⁻ : H + e⁻ → H⁻, puis H⁻ + H → H₂ + e⁻;chimie_phase_gazeuse;"électrons résiduels ; absence de grains";voie H₂⁺ minoritaire;refroidissement radiatif sous 10 000 K;effondrement des premiers halos;aucune;voie de surface, impossible faute de grains;taux de réaction mesurés;inféré, non observé directement;fortement inféré;GA-006;fortement inféré;fortement inféré;fortement inféré;fortement inféré;préliminaire - revue bibliographique indépendante requise
GA-006;1 matière;atomes neutres;gravité | refroidissement par H2 | refroidissement par HD;premières étoiles;intérieurs stellaires : matière portée aux seuils de fusion;z ≈ 30 à 20;mini-halos;effondrement refroidi par les raies rovibrationnelles de H₂;effondrement_gravitationnel;"masse de halo suffisante ; f(H₂) ≈ 10⁻³";fragmentation limitée;cœurs à plus de 10⁷ K;nucléosynthèse au-delà du lithium;aucune;refroidissement HD;sans objet;étoiles extrêmement pauvres en métaux;fortement inféré;GA-007;fortement inféré;fortement inféré;fortement inféré;fortement inféré;préliminaire - revue bibliographique indépendante requise
GA-007;1 matière;hélium 4 | premières étoiles;aucune;carbone 12;carbone, confiné au cœur jusqu'à la perte de masse;combustion de l'hélium;cœur stellaire;triple-alpha via l'état de Hoyle à 7,65 MeV;fusion_nucleaire;"T ≈ 10⁸ K ; ρ ≈ 10⁵ g/cm³";⁸Be intermédiaire, 10⁻¹⁶ s;premier élément tétravalent;"chimie organique ; captures alpha";aucune;aucune voie stable au-delà de la masse 8;état de Hoyle mesuré;carbone des géantes AGB;établi;GA-008;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GA-008;1 matière;carbone 12 | hélium 4;aucune;oxygène | néon | magnésium | silicium | soufre;alpha-éléments, confinés jusqu'à l'éjection;évolution avancée;couches en combustion;captures alpha successives;fusion_nucleaire;températures croissantes par couche;structure en pelures d'oignon;éléments formateurs de réseaux silicatés;"minéralogie silicatée ; eau";aucune;combustion du carbone et de l'oxygène;sections efficaces de capture alpha;rapports alpha sur fer;établi;GA-009;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GA-009;1 matière;silicium | soufre;aucune;fer | nickel | cobalt;fer, disponible seulement après supernova;dernières heures d'une étoile massive;cœur en combustion du silicium;quasi-équilibre statistique nucléaire;fusion_nucleaire;T > 3 × 10⁹ K;⁵⁶Ni puis décroissance en ⁵⁶Fe;maximum d'énergie de liaison par nucléon;"effondrement ; supernova ; dispersion";fusion exothermique au-delà du fer, définitivement;aucune;courbe d'énergie de liaison;courbes de lumière de supernovæ;établi;GA-010;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GA-010;1 matière;fer | nickel | cobalt | neutrons;flux neutronique lent;éléments lourds voie s;éléments s dispersés par les vents AGB;phase AGB;couche riche en hélium;captures neutroniques lentes devant la décroissance bêta;capture_neutronique;"source ¹³C(α,n)¹⁶O ; n ≈ 10⁷ cm⁻³";cheminement le long de la vallée;éléments jusqu'au plomb;chimie des métaux lourds;au-delà du bismuth, instabilité alpha;voie r;sections efficaces neutroniques;technétium dans les spectres AGB;établi;GA-013;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
