Catégorie;Nom;Nature proposée;Propriétés ou indices;Statut;Part ou portée;Note;Source URL
Composante cosmologique;Matière noire;Nature microscopique inconnue;Effets gravitationnels à l'échelle des galaxies, amas et cosmologie;Inférée avec forte confiance;Environ 27 % du contenu masse-énergie dans le modèle cosmologique standard;Ne pas confondre avec matière baryonique sombre;https://science.nasa.gov/universe/overview/building-blocks/
Candidat matière noire;Axion;Particule légère hypothétique;Couplages très faibles, motivation par le problème CP fort;Non détecté;Candidat non baryonique;Recherches en laboratoire et astrophysique;https://science.nasa.gov/universe/overview/building-blocks/
Candidat matière noire;Particule de type WIMP;Particule massive à interaction faible;Production thermique possible;Non détectée;Famille de candidats;Contraintes expérimentales croissantes;https://science.nasa.gov/universe/overview/building-blocks/
Candidat matière noire;Neutrino stérile;Fermion neutre hors Modèle standard minimal;Mélange possible avec neutrinos actifs;Non détecté comme matière noire;Candidat chaud ou tiède selon masse;Contraint par cosmologie et rayons X;https://science.nasa.gov/universe/overview/building-blocks/
Candidat matière noire;Matière noire ultralégère;Champ bosonique de très faible masse;Comportement ondulatoire à grande échelle;Non détectée;Inclut modèles dits fuzzy;Contraintes structurelles et astrophysiques;https://science.nasa.gov/universe/overview/building-blocks/
Candidat matière noire;Matière noire asymétrique;Secteur sombre avec asymétrie matière-antimatière;Densité reliée potentiellement à la matière baryonique;Hypothétique;Famille de modèles;Composition ouverte;https://science.nasa.gov/universe/overview/building-blocks/
Candidat matière noire;Trou noir primordial;Trou noir formé dans l'Univers primordial;Objet compact baryonique au sens large, origine non stellaire;Non confirmé comme population dominante;Fenêtres de masse encore étudiées;Contraintes par lentillage et dynamique;https://science.nasa.gov/universe/overview/building-blocks/
Candidat matière noire;MACHO stellaire;Naines faibles, trous noirs stellaires, objets compacts;Matière baryonique sombre;Population réelle mais contribution limitée;Ne peut expliquer seule toute la matière noire;Contraintes par microlentillage et nucléosynthèse;https://science.nasa.gov/universe/overview/building-blocks/
Secteur sombre;Photon sombre;Boson hypothétique médiateur;Mélange cinétique possible avec photon;Non détecté;Pas nécessairement matière noire elle-même;Peut relier secteur sombre et matière ordinaire;https://science.nasa.gov/universe/overview/building-blocks/
Secteur sombre;Matière noire auto-interagissante;Particules sombres avec interactions internes;Peut modifier les cœurs de halos;Hypothétique;Famille de modèles;Contraintes par amas et galaxies;https://science.nasa.gov/universe/overview/building-blocks/
Matière compacte inconnue;Phase du cœur des étoiles à neutrons;Hyperons, condensats, quarks ou phases mixtes possibles;Densité supra-nucléaire;Non résolue;Inférée par équation d'état et observations;Plusieurs architectures restent compatibles;https://science.nasa.gov/universe/overview/building-blocks/
Matière exotique hypothétique;Strangelet;Petit fragment de matière étrange;Quarks u, d, s;Non détecté;Hypothétique;Recherches dans rayons cosmiques et collisions;https://science.nasa.gov/universe/overview/building-blocks/
Matière exotique hypothétique;Monopôle magnétique;Objet portant une charge magnétique isolée;Prédit par plusieurs théories;Non détecté;Hypothétique;Ne fait pas partie du Modèle standard confirmé;https://science.nasa.gov/universe/overview/building-blocks/
Matière exotique hypothétique;Q-ball;Soliton non topologique de champs scalaires;Charge conservée collective;Non détecté;Hypothétique;Candidat possible dans certains modèles;https://science.nasa.gov/universe/overview/building-blocks/
Composante non matérielle;Énergie noire;Origine de l'accélération cosmique;Pression effective négative dans les modèles;Inférée cosmologiquement;Environ 68 % du contenu masse-énergie standard;Hors inventaire de matière au sens strict;https://science.nasa.gov/universe/overview/building-blocks/
Composante cosmologique;Matière baryonique ordinaire;Atomes, ions, plasmas, étoiles, gaz, poussières, organismes;Constituants du Modèle standard;Confirmée;Environ 5 % du contenu masse-énergie standard;Partie directement inventoriable par composition;https://science.nasa.gov/universe/overview/building-blocks/
