source_id;year;authors;title;journal;doi;url;source_type;evidence_mode;stages;key_support;caveat
SRC-GC-001;2018;Limongi & Chieffi;Presupernova evolution and explosive nucleosynthesis of rotating massive stars;ApJS 237, 13;10.3847/1538-4365/aacb24;https://doi.org/10.3847/1538-4365/aacb24;article primaire;modélisation stellaire;GC-001|GC-003;"Rendements nucléosynthétiques dépendant de la masse, métallicité et rotation; source déjà intégrée dans nucleosynthesis_yields.csv.";Sorties de modèles, pas mesure directe de l'histoire protosolaire.
SRC-GC-002;2018;Ritter et al.;NuGrid stellar data set II: stellar yields from H to Bi;MNRAS 480, 538–571;10.1093/mnras/sty1729;https://doi.org/10.1093/mnras/sty1729;article primaire + données;modélisation stellaire;GC-001|GC-002;"Rendements H→Bi pour plusieurs masses et métallicités; tables de rendement réutilisables.";Le lien vers la composition exacte du nuage protosolaire nécessite un modèle d'évolution chimique galactique.
SRC-GC-003;2022;Lawson et al.;Stellar yields / NuGrid extension;MNRAS 511, 886;10.1093/mnras/stab3684;https://doi.org/10.1093/mnras/stab3684;article primaire + données;modélisation stellaire;GC-001|GC-002;Famille de rendements déjà intégrée dans le dépôt.;Dépend du modèle stellaire.
SRC-GC-004;2016;Pignatari et al.;NuGrid stellar data set I;ApJS 225, 24;10.3847/0067-0049/225/2/24;https://doi.org/10.3847/0067-0049/225/2/24;article primaire + données;modélisation stellaire;GC-001|GC-002;Rendements isotopiques stellaires déjà intégrés.;Sorties de modèles.
SRC-GC-005;2002;Rauscher et al.;Nucleosynthesis in massive stars with improved nuclear and stellar physics;ApJ 576, 323;10.1086/341728;https://doi.org/10.1086/341728;article primaire;modélisation stellaire;GC-001|GC-003;Rendements de nucléosynthèse massive déjà intégrés.;Sorties de modèles.
SRC-GC-006;2018;Sieverding et al.;Nucleosynthesis in massive stars including neutrino-process contributions;ApJ 865, 143;10.3847/1538-4357/aadd48;https://doi.org/10.3847/1538-4357/aadd48;article primaire;modélisation stellaire;GC-001|GC-003;Famille de rendements isotopiques déjà intégrée.;Sorties de modèles.
SRC-GC-007;2021;Asplund, Amarsi & Grevesse;The chemical make-up of the Sun: A 2020 vision;A&A 653, A141;10.1051/0004-6361/202140445;https://doi.org/10.1051/0004-6361/202140445;article de synthèse quantitative;spectroscopie solaire;GC-005|GC-007;Composition solaire de référence pour de nombreux éléments.;La photosphère actuelle n'est pas identique sans correction à la composition protosolaire.
SRC-GC-008;2003;Lodders;Solar System abundances and condensation temperatures of the elements;ApJ 591, 1220–1247;10.1086/375492;https://doi.org/10.1086/375492;article quantitatif;cosmochimie + thermodynamique;GC-005|GC-010;Abondances protosolaires et températures de condensation de référence.;Les températures dépendent de la pression, composition et hypothèse d'équilibre.
SRC-GC-009;1972;Grossman;Condensation in the primitive solar nebula;Geochim. Cosmochim. Acta 36, 597–619;10.1016/0016-7037(72)90078-6;https://doi.org/10.1016/0016-7037(72)90078-6;article primaire;thermodynamique de condensation;GC-010|GC-011;Séquence de condensation réfractaire dans une nébuleuse de composition solaire.;"Modèle d'équilibre; ne fixe pas seul la cinétique ou le transport réel du disque."
SRC-GC-010;1998;Nittler et al.;Meteoritic oxide grain from supernova found;Nature 393, 222;10.1038/30377;https://doi.org/10.1038/30377;article primaire;échantillon météoritique / isotopes;GC-004;Un grain d'oxyde météoritique porte une signature isotopique compatible avec un éjecta de supernova.;Un grain démontre une transmission matérielle, pas le bilan de masse global du nuage protosolaire.
