methode,cible_oric,principe,donnees_requises,force,risque,hypotheses,references
Information effective / émergence causale,Six dimensions et niveaux d’architecture,Mesurer si un niveau macroscopique augmente le pouvoir causal interventionnel,"TPM ou modèle dynamique, interventions définies",Évite le simple recodage du régime,Dépend du choix d’interventions et du coarse-graining,H-S-002;H-M-001;H-T-002,PUB à filtrer: causal_emergence
PID / ΦID,Intégration I et synergies,"Décomposer information unique, redondante et synergique",Séries multivariées suffisantes,Teste l’intégration sans analogie,Estimateurs fragiles en haute dimension,H-S-002;H-T-002,1004.2515;1909.02297
Computational mechanics / complexité statistique,Histoire H et mémoire,Reconstruire les états causaux minimaux prédictifs,Séries longues stationnaires ou segmentées,Mesure mémoire prédictive minimale,Sensible à l’échantillonnage,H-C-007;H-V-002,Crutchfield & Young 1989
Information closure,Architecture et autonomie,Tester si une macrovariable est prédictivement fermée sur elle-même,Séries micro/macro synchronisées,Opérationnalise autonomie,Ne prouve pas finalité ni vie,H-T-001;H-T-002,Chang et al. 2020
Réseaux temporels d’ordre supérieur,Carte relationnelle,Comparer structure temporelle et chronologie simple,Événements datés et séquences,"Capte ordre, durée et mémoire des liens",Risque de surparamétrage,H-S-004;H-M-001,1108.1780;2004.12784;2203.06601
Découverte causale avec interventions,Chaîne ORI-C,Reconstruire les arêtes soutenues par observations + interventions,Données temporelles et contrastes,Remplace la chaîne imposée par un graphe testable,Confusion latente et équivalence de Markov,H-T-001;H-S-002,2410.02844;2303.10112
Invariant causal prediction / OOD,Généralité interbranche,Chercher relations stables entre environnements,Plusieurs environnements ou domaines,Teste invariance plutôt que corrélation,Peut être trop conservateur,H-T-001;H-V-002,1907.02893;2008.01883;2206.07837
Koopman / DMD,Opérateur A(t),Identifier dynamiques et changements d’opérateur,Séries multivariées,Sépare état et opérateur,Dictionnaire/observables critiques,H-C-014;H-T-001,2412.18492
SINDy,Lois dynamiques compactes,Découvrir termes nécessaires au lieu de les ajouter intuitivement,Dérivées ou données lissées,Interprétable et parcimonieux,"Bruit, dérivées, bibliothèque de termes",H-C-014;H-C-015,PySINDy
Régression symbolique,Pacc et lois effectives,Chercher formes compactes avec pénalité de complexité,Données propres et contraintes physiques,Peut révéler correction d’échelle,Surajustement et recherche coûteuse,H-M-001;H-C-014;H-T-001,2512.15920
Viability kernel / reachability,Pacc,"Calculer états atteignables sous T,C,ε","Modèle dynamique, contraintes, incertitude",Donne un contenu mathématique direct à Pacc,Coût exponentiel en dimension,H-T-001;H-V-002,Aubin / outils reachability
Analyse de bassins / edge states,Hystérésis et persistance,"Mesurer frontières, coûts de retour et attracteurs",Modèle multistable,"Sépare retard, hystérésis, amputation",Difficile en haute dimension,H-C-011;H-C-012;H-C-013;H-C-016,2410.16277;1808.02310
Continuation et bifurcations,Seuil B,"Localiser Hopf, fold, Bautin, transcritique",Équations ou simulateur différentiable,Tests falsifiables des seuils,Ne couvre pas tous les tipping non bifurcatifs,H-S-001;H-C-005;H-C-011,AUTO-07p;DDE-Biftool
Modèles à retard,Mémoire distribuée,Représenter délais sans état lent arbitraire,Choix/estimation du noyau de retard,Famille concurrente forte pour MPT,Non-identifiabilité des retards,H-C-004;H-C-005;H-C-017,1712.07614;1808.02310
State-space hiérarchique,m(t) distribuée,Estimer états lents et incertitudes,Séries temporelles et modèles d’observation,Sépare processus et mesure,Hypothèses de bruit et identifiabilité,H-C-001;H-CL-001;H-V-002,Kalman/Bayes
Change-point / regime switching,Transitions,Détecter changements sans date imposée,Séries longues,Teste dates et régimes,Confond changement de variance et mécanisme,H-C-005;H-M-001,"HMM, BOCPD"
Surrogates de Fourier,Nulls spectraux,Tester structure au-delà du spectre,Séries stationnaires par segment,Contrôle faux positifs de phase,Puissance faible avec peu de tirages,H-C-009,procédure déjà utilisée
Validation croisée bloquée / rolling origin,Prédiction historique,Éviter fuite temporelle,Séries ordonnées,Critère OOS propre,Peu de blocs indépendants,H-C-001;H-C-006;H-V-002,procédure standard
Témoins appariés de complexité,Apport propre ORI-C,Comparer budget paramétrique et flexibilité,Modèles concurrents explicites,Ferme les gains dus à la complexité,Appariement imparfait possible,H-C-002;H-C-014;H-V-002,M1P et extensions
Identifiabilité profil / Fisher / posterior,Paramètres,Mesurer stabilité et équifinalité,Modèle calibré et incertitudes,Évite interprétation de paramètres arbitraires,Dépend de la paramétrisation,H-C-015,"profile likelihood, ArviZ"
Ablation et mécanism-denial,Mécanismes,Retirer un canal à la fois avec témoin apparié,Modèle modulaire,Attribution causale interne,Interactions entre ablations,H-S-001;H-C-017;H-V-001,2408.12563
Analyse topologique persistante,Connectivité ΔC / L,Mesurer changements de bassins et chemins,Nuages de points ou trajectoires,Quantifie connectivité sans labels imposés,Interprétation physique non automatique,H-S-002;H-M-001,2408.09400
Optimal transport / Wasserstein,Distance entre architectures,Comparer distributions et trajectoires,Distributions empiriques,"Sensible à géométrie, pas seulement moyennes",Choix du coût,H-M-001;H-V-002,méthode transversale
Minimum Description Length / compression,Coût du vocabulaire,Comparer gain prédictif net de complexité,Modèles codables,Teste compression explicative,Choix du code universel,H-T-002,MDL / prequential coding
Accord inter-codeurs,Dimensions matière,Mesurer reproductibilité des codages,Au moins trois codeurs aveugles,Teste si les dimensions existent opératoirement,Nécessite formation et protocole,H-S-002;H-M-001,Krippendorff alpha / kappa
